group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1004209.0,ns,49
fib 20,,,,,1958417.0,ns,98
fib 20,,,,,2921250.0,ns,147
fib 20,,,,,4142500.0,ns,196
fib 20,,,,,4973459.0,ns,245
fib 20,,,,,5879209.0,ns,294
fib 20,,,,,6945834.0,ns,343
fib 20,,,,,7868417.0,ns,392
fib 20,,,,,8856292.0,ns,441
fib 20,,,,,9893542.0,ns,490
fib 20,,,,,10863792.0,ns,539
fib 20,,,,,11742625.0,ns,588
fib 20,,,,,12715458.0,ns,637
fib 20,,,,,13721875.0,ns,686
fib 20,,,,,15082625.0,ns,735
fib 20,,,,,15983542.0,ns,784
fib 20,,,,,17102500.0,ns,833
fib 20,,,,,17960791.0,ns,882
fib 20,,,,,19039291.0,ns,931
fib 20,,,,,20033791.0,ns,980
fib 20,,,,,21142042.0,ns,1029
fib 20,,,,,21566459.0,ns,1078
fib 20,,,,,22985583.0,ns,1127
fib 20,,,,,23916000.0,ns,1176
fib 20,,,,,25141209.0,ns,1225
fib 20,,,,,26141875.0,ns,1274
fib 20,,,,,26763250.0,ns,1323
fib 20,,,,,27951083.0,ns,1372
fib 20,,,,,28713916.0,ns,1421
fib 20,,,,,30186916.0,ns,1470
fib 20,,,,,30848583.0,ns,1519
fib 20,,,,,31573834.0,ns,1568
fib 20,,,,,33136292.0,ns,1617
fib 20,,,,,33978417.0,ns,1666
fib 20,,,,,34674209.0,ns,1715
fib 20,,,,,34781042.0,ns,1764
fib 20,,,,,35776000.0,ns,1813
fib 20,,,,,37455458.0,ns,1862
fib 20,,,,,38666292.0,ns,1911
fib 20,,,,,39340750.0,ns,1960
fib 20,,,,,40624583.0,ns,2009
fib 20,,,,,42022291.0,ns,2058
fib 20,,,,,42568834.0,ns,2107
fib 20,,,,,43705000.0,ns,2156
fib 20,,,,,45192042.0,ns,2205
fib 20,,,,,45165291.0,ns,2254
fib 20,,,,,46711583.0,ns,2303
fib 20,,,,,47915959.0,ns,2352
fib 20,,,,,48695542.0,ns,2401
fib 20,,,,,49286291.0,ns,2450
fib 20,,,,,50877166.0,ns,2499
fib 20,,,,,51542708.0,ns,2548
fib 20,,,,,52807250.0,ns,2597
fib 20,,,,,54418792.0,ns,2646
fib 20,,,,,54088417.0,ns,2695
fib 20,,,,,55971417.0,ns,2744
fib 20,,,,,56406042.0,ns,2793
fib 20,,,,,57962625.0,ns,2842
fib 20,,,,,58928042.0,ns,2891
fib 20,,,,,59421375.0,ns,2940
fib 20,,,,,60839917.0,ns,2989
fib 20,,,,,61697458.0,ns,3038
fib 20,,,,,63227834.0,ns,3087
fib 20,,,,,63374334.0,ns,3136
fib 20,,,,,64938291.0,ns,3185
fib 20,,,,,64646250.0,ns,3234
fib 20,,,,,66034792.0,ns,3283
fib 20,,,,,67111042.0,ns,3332
fib 20,,,,,69014708.0,ns,3381
fib 20,,,,,71051959.0,ns,3430
fib 20,,,,,71212041.0,ns,3479
fib 20,,,,,71725375.0,ns,3528
fib 20,,,,,78201625.0,ns,3577
fib 20,,,,,73949625.0,ns,3626
fib 20,,,,,74317000.0,ns,3675
fib 20,,,,,75492125.0,ns,3724
fib 20,,,,,76701875.0,ns,3773
fib 20,,,,,77516750.0,ns,3822
fib 20,,,,,78661250.0,ns,3871
fib 20,,,,,79336750.0,ns,3920
fib 20,,,,,79724625.0,ns,3969
fib 20,,,,,81062625.0,ns,4018
fib 20,,,,,82110834.0,ns,4067
fib 20,,,,,82919666.0,ns,4116
fib 20,,,,,84996542.0,ns,4165
fib 20,,,,,85248666.0,ns,4214
fib 20,,,,,86360750.0,ns,4263
fib 20,,,,,87154959.0,ns,4312
fib 20,,,,,87456000.0,ns,4361
fib 20,,,,,89563250.0,ns,4410
fib 20,,,,,90098666.0,ns,4459
fib 20,,,,,91130250.0,ns,4508
fib 20,,,,,92890792.0,ns,4557
fib 20,,,,,93862375.0,ns,4606
fib 20,,,,,94307000.0,ns,4655
fib 20,,,,,94943583.0,ns,4704
fib 20,,,,,95319458.0,ns,4753
fib 20,,,,,97001666.0,ns,4802
fib 20,,,,,98416542.0,ns,4851
fib 20,,,,,99464333.0,ns,4900
