group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mw_10,,,,,1526708.0,ns,1
mw_10,,,,,3059750.0,ns,2
mw_10,,,,,4642875.0,ns,3
mw_10,,,,,5958916.0,ns,4
mw_10,,,,,7411416.0,ns,5
mw_10,,,,,8931125.0,ns,6
mw_10,,,,,10380375.0,ns,7
mw_10,,,,,12005958.0,ns,8
mw_10,,,,,13567084.0,ns,9
mw_10,,,,,15020583.0,ns,10
mw_10,,,,,16516625.0,ns,11
mw_10,,,,,18019625.0,ns,12
mw_10,,,,,19605292.0,ns,13
mw_10,,,,,20900208.0,ns,14
mw_10,,,,,22164750.0,ns,15
mw_10,,,,,24069541.0,ns,16
mw_10,,,,,25442250.0,ns,17
mw_10,,,,,26686459.0,ns,18
mw_10,,,,,28353833.0,ns,19
mw_10,,,,,29901500.0,ns,20
mw_10,,,,,31551083.0,ns,21
mw_10,,,,,33468542.0,ns,22
mw_10,,,,,34637083.0,ns,23
mw_10,,,,,36088875.0,ns,24
mw_10,,,,,37927791.0,ns,25
mw_10,,,,,39506917.0,ns,26
mw_10,,,,,40921500.0,ns,27
mw_10,,,,,42895917.0,ns,28
mw_10,,,,,44487125.0,ns,29
mw_10,,,,,45124750.0,ns,30
mw_10,,,,,47080375.0,ns,31
mw_10,,,,,48598750.0,ns,32
mw_10,,,,,50991834.0,ns,33
mw_10,,,,,53542250.0,ns,34
mw_10,,,,,54155166.0,ns,35
mw_10,,,,,53909083.0,ns,36
mw_10,,,,,55966791.0,ns,37
mw_10,,,,,57344375.0,ns,38
mw_10,,,,,58402416.0,ns,39
mw_10,,,,,60043917.0,ns,40
mw_10,,,,,60986292.0,ns,41
mw_10,,,,,62484208.0,ns,42
mw_10,,,,,64563542.0,ns,43
mw_10,,,,,65638375.0,ns,44
mw_10,,,,,66978958.0,ns,45
mw_10,,,,,68786834.0,ns,46
mw_10,,,,,70554125.0,ns,47
mw_10,,,,,72002542.0,ns,48
mw_10,,,,,73157500.0,ns,49
mw_10,,,,,75987750.0,ns,50
mw_10,,,,,77015167.0,ns,51
mw_10,,,,,78004417.0,ns,52
mw_10,,,,,79995416.0,ns,53
mw_10,,,,,81333333.0,ns,54
mw_10,,,,,82449709.0,ns,55
mw_10,,,,,84327458.0,ns,56
mw_10,,,,,85463375.0,ns,57
mw_10,,,,,86761417.0,ns,58
mw_10,,,,,88611375.0,ns,59
mw_10,,,,,90146666.0,ns,60
mw_10,,,,,91447500.0,ns,61
mw_10,,,,,93443708.0,ns,62
mw_10,,,,,94521084.0,ns,63
mw_10,,,,,96264625.0,ns,64
mw_10,,,,,98442500.0,ns,65
mw_10,,,,,99061333.0,ns,66
mw_10,,,,,101011083.0,ns,67
mw_10,,,,,102330167.0,ns,68
mw_10,,,,,103149791.0,ns,69
mw_10,,,,,106399791.0,ns,70
mw_10,,,,,112405458.0,ns,71
mw_10,,,,,112534209.0,ns,72
mw_10,,,,,110188417.0,ns,73
mw_10,,,,,111011583.0,ns,74
mw_10,,,,,113407334.0,ns,75
mw_10,,,,,114544084.0,ns,76
mw_10,,,,,116830500.0,ns,77
mw_10,,,,,118726000.0,ns,78
mw_10,,,,,119518292.0,ns,79
mw_10,,,,,121093084.0,ns,80
mw_10,,,,,123887833.0,ns,81
mw_10,,,,,123188333.0,ns,82
mw_10,,,,,135503166.0,ns,83
mw_10,,,,,252583500.0,ns,84
mw_10,,,,,173088833.0,ns,85
mw_10,,,,,138786417.0,ns,86
mw_10,,,,,137704334.0,ns,87
mw_10,,,,,137016042.0,ns,88
mw_10,,,,,138995000.0,ns,89
mw_10,,,,,139267333.0,ns,90
mw_10,,,,,141341625.0,ns,91
mw_10,,,,,139904334.0,ns,92
mw_10,,,,,141193334.0,ns,93
mw_10,,,,,143653583.0,ns,94
mw_10,,,,,144760459.0,ns,95
mw_10,,,,,145193750.0,ns,96
mw_10,,,,,145461459.0,ns,97
mw_10,,,,,146742458.0,ns,98
mw_10,,,,,148128000.0,ns,99
mw_10,,,,,149460500.0,ns,100
