group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mw_verify:2^10,,,,,1137084.0,ns,5
mw_verify:2^10,,,,,2196375.0,ns,10
mw_verify:2^10,,,,,3342458.0,ns,15
mw_verify:2^10,,,,,4245750.0,ns,20
mw_verify:2^10,,,,,5520167.0,ns,25
mw_verify:2^10,,,,,6473666.0,ns,30
mw_verify:2^10,,,,,7624125.0,ns,35
mw_verify:2^10,,,,,8522792.0,ns,40
mw_verify:2^10,,,,,9731334.0,ns,45
mw_verify:2^10,,,,,10658792.0,ns,50
mw_verify:2^10,,,,,11721917.0,ns,55
mw_verify:2^10,,,,,12933000.0,ns,60
mw_verify:2^10,,,,,13887042.0,ns,65
mw_verify:2^10,,,,,15006792.0,ns,70
mw_verify:2^10,,,,,16061708.0,ns,75
mw_verify:2^10,,,,,17189709.0,ns,80
mw_verify:2^10,,,,,18148083.0,ns,85
mw_verify:2^10,,,,,19549417.0,ns,90
mw_verify:2^10,,,,,20437833.0,ns,95
mw_verify:2^10,,,,,21577334.0,ns,100
mw_verify:2^10,,,,,22627542.0,ns,105
mw_verify:2^10,,,,,23488791.0,ns,110
mw_verify:2^10,,,,,24670542.0,ns,115
mw_verify:2^10,,,,,25891041.0,ns,120
mw_verify:2^10,,,,,26978500.0,ns,125
mw_verify:2^10,,,,,27906708.0,ns,130
mw_verify:2^10,,,,,28966708.0,ns,135
mw_verify:2^10,,,,,30212834.0,ns,140
mw_verify:2^10,,,,,31189667.0,ns,145
mw_verify:2^10,,,,,32175792.0,ns,150
mw_verify:2^10,,,,,33240500.0,ns,155
mw_verify:2^10,,,,,34337375.0,ns,160
mw_verify:2^10,,,,,35316042.0,ns,165
mw_verify:2^10,,,,,36967500.0,ns,170
mw_verify:2^10,,,,,37636875.0,ns,175
mw_verify:2^10,,,,,38876750.0,ns,180
mw_verify:2^10,,,,,39672916.0,ns,185
mw_verify:2^10,,,,,40834667.0,ns,190
mw_verify:2^10,,,,,41761250.0,ns,195
mw_verify:2^10,,,,,42986000.0,ns,200
mw_verify:2^10,,,,,44007750.0,ns,205
mw_verify:2^10,,,,,45621125.0,ns,210
mw_verify:2^10,,,,,46259542.0,ns,215
mw_verify:2^10,,,,,47253416.0,ns,220
mw_verify:2^10,,,,,48383750.0,ns,225
mw_verify:2^10,,,,,49533042.0,ns,230
mw_verify:2^10,,,,,50643458.0,ns,235
mw_verify:2^10,,,,,53951042.0,ns,240
mw_verify:2^10,,,,,55531083.0,ns,245
mw_verify:2^10,,,,,53865208.0,ns,250
mw_verify:2^10,,,,,54899292.0,ns,255
mw_verify:2^10,,,,,56527500.0,ns,260
mw_verify:2^10,,,,,57117292.0,ns,265
mw_verify:2^10,,,,,57988417.0,ns,270
mw_verify:2^10,,,,,59172833.0,ns,275
mw_verify:2^10,,,,,61378625.0,ns,280
mw_verify:2^10,,,,,61680417.0,ns,285
mw_verify:2^10,,,,,62570042.0,ns,290
mw_verify:2^10,,,,,64999667.0,ns,295
mw_verify:2^10,,,,,78223250.0,ns,300
mw_verify:2^10,,,,,71091417.0,ns,305
mw_verify:2^10,,,,,67188000.0,ns,310
mw_verify:2^10,,,,,67871083.0,ns,315
mw_verify:2^10,,,,,68953208.0,ns,320
mw_verify:2^10,,,,,69895125.0,ns,325
mw_verify:2^10,,,,,70684375.0,ns,330
mw_verify:2^10,,,,,72179166.0,ns,335
mw_verify:2^10,,,,,73147500.0,ns,340
mw_verify:2^10,,,,,74003375.0,ns,345
mw_verify:2^10,,,,,75068958.0,ns,350
mw_verify:2^10,,,,,76321875.0,ns,355
mw_verify:2^10,,,,,77104083.0,ns,360
mw_verify:2^10,,,,,78461666.0,ns,365
mw_verify:2^10,,,,,79600458.0,ns,370
mw_verify:2^10,,,,,80402583.0,ns,375
mw_verify:2^10,,,,,82342750.0,ns,380
mw_verify:2^10,,,,,83042458.0,ns,385
mw_verify:2^10,,,,,83732042.0,ns,390
mw_verify:2^10,,,,,85211916.0,ns,395
mw_verify:2^10,,,,,85955541.0,ns,400
mw_verify:2^10,,,,,86751041.0,ns,405
mw_verify:2^10,,,,,88017459.0,ns,410
mw_verify:2^10,,,,,89744458.0,ns,415
mw_verify:2^10,,,,,90194209.0,ns,420
mw_verify:2^10,,,,,91355333.0,ns,425
mw_verify:2^10,,,,,92652083.0,ns,430
mw_verify:2^10,,,,,93811958.0,ns,435
mw_verify:2^10,,,,,94268584.0,ns,440
mw_verify:2^10,,,,,96319666.0,ns,445
mw_verify:2^10,,,,,97215791.0,ns,450
mw_verify:2^10,,,,,97571375.0,ns,455
mw_verify:2^10,,,,,98289375.0,ns,460
mw_verify:2^10,,,,,99261083.0,ns,465
mw_verify:2^10,,,,,100611708.0,ns,470
mw_verify:2^10,,,,,101028084.0,ns,475
mw_verify:2^10,,,,,102287417.0,ns,480
mw_verify:2^10,,,,,103531458.0,ns,485
mw_verify:2^10,,,,,104659750.0,ns,490
mw_verify:2^10,,,,,105925708.0,ns,495
mw_verify:2^10,,,,,106912833.0,ns,500
