group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
comparison,Generation,32768,,,930711125.0,ns,1
comparison,Generation,32768,,,935711042.0,ns,1
comparison,Generation,32768,,,929193833.0,ns,1
comparison,Generation,32768,,,920720042.0,ns,1
comparison,Generation,32768,,,957630792.0,ns,1
comparison,Generation,32768,,,963004416.0,ns,1
comparison,Generation,32768,,,954302000.0,ns,1
comparison,Generation,32768,,,974258875.0,ns,1
comparison,Generation,32768,,,947708250.0,ns,1
comparison,Generation,32768,,,965590375.0,ns,1
