group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
comparison,Mimblewimble Generation,32768,,,89177542.0,ns,221
comparison,Mimblewimble Generation,32768,,,173140167.0,ns,442
comparison,Mimblewimble Generation,32768,,,258392208.0,ns,663
comparison,Mimblewimble Generation,32768,,,344251708.0,ns,884
comparison,Mimblewimble Generation,32768,,,440920792.0,ns,1105
comparison,Mimblewimble Generation,32768,,,550620583.0,ns,1326
comparison,Mimblewimble Generation,32768,,,600252083.0,ns,1547
comparison,Mimblewimble Generation,32768,,,689951375.0,ns,1768
comparison,Mimblewimble Generation,32768,,,786997834.0,ns,1989
comparison,Mimblewimble Generation,32768,,,889716750.0,ns,2210
