group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
comparison,NetNotes Generation,32768,,,947804916.0,ns,1
comparison,NetNotes Generation,32768,,,1044340125.0,ns,1
comparison,NetNotes Generation,32768,,,1044290000.0,ns,1
comparison,NetNotes Generation,32768,,,1075784042.0,ns,1
comparison,NetNotes Generation,32768,,,967112875.0,ns,1
comparison,NetNotes Generation,32768,,,1012913208.0,ns,1
comparison,NetNotes Generation,32768,,,923267791.0,ns,1
comparison,NetNotes Generation,32768,,,1025902667.0,ns,1
comparison,NetNotes Generation,32768,,,949584209.0,ns,1
comparison,NetNotes Generation,32768,,,940365250.0,ns,1
