group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mimblewimble,Generation,1024,,,1487125.0,ns,3
mimblewimble,Generation,1024,,,2920583.0,ns,6
mimblewimble,Generation,1024,,,4483917.0,ns,9
mimblewimble,Generation,1024,,,5463375.0,ns,12
mimblewimble,Generation,1024,,,6923709.0,ns,15
mimblewimble,Generation,1024,,,8297500.0,ns,18
mimblewimble,Generation,1024,,,9628791.0,ns,21
mimblewimble,Generation,1024,,,11033292.0,ns,24
mimblewimble,Generation,1024,,,12416500.0,ns,27
mimblewimble,Generation,1024,,,13800166.0,ns,30
mimblewimble,Generation,1024,,,15142625.0,ns,33
mimblewimble,Generation,1024,,,16588541.0,ns,36
mimblewimble,Generation,1024,,,17858583.0,ns,39
mimblewimble,Generation,1024,,,19533042.0,ns,42
mimblewimble,Generation,1024,,,21134750.0,ns,45
mimblewimble,Generation,1024,,,22390125.0,ns,48
mimblewimble,Generation,1024,,,23458042.0,ns,51
mimblewimble,Generation,1024,,,24802834.0,ns,54
mimblewimble,Generation,1024,,,26702375.0,ns,57
mimblewimble,Generation,1024,,,27699875.0,ns,60
mimblewimble,Generation,1024,,,29545542.0,ns,63
mimblewimble,Generation,1024,,,32418209.0,ns,66
mimblewimble,Generation,1024,,,33235042.0,ns,69
mimblewimble,Generation,1024,,,33625500.0,ns,72
mimblewimble,Generation,1024,,,34648750.0,ns,75
mimblewimble,Generation,1024,,,35661958.0,ns,78
mimblewimble,Generation,1024,,,37761209.0,ns,81
mimblewimble,Generation,1024,,,38592916.0,ns,84
mimblewimble,Generation,1024,,,39845083.0,ns,87
mimblewimble,Generation,1024,,,41529125.0,ns,90
mimblewimble,Generation,1024,,,43957833.0,ns,93
mimblewimble,Generation,1024,,,44280042.0,ns,96
mimblewimble,Generation,1024,,,47199833.0,ns,99
mimblewimble,Generation,1024,,,47102500.0,ns,102
mimblewimble,Generation,1024,,,48792042.0,ns,105
mimblewimble,Generation,1024,,,49898417.0,ns,108
mimblewimble,Generation,1024,,,51352042.0,ns,111
mimblewimble,Generation,1024,,,52974167.0,ns,114
mimblewimble,Generation,1024,,,53856416.0,ns,117
mimblewimble,Generation,1024,,,55428042.0,ns,120
mimblewimble,Generation,1024,,,57417083.0,ns,123
mimblewimble,Generation,1024,,,57998416.0,ns,126
mimblewimble,Generation,1024,,,60004208.0,ns,129
mimblewimble,Generation,1024,,,61415583.0,ns,132
mimblewimble,Generation,1024,,,62475167.0,ns,135
mimblewimble,Generation,1024,,,64397083.0,ns,138
mimblewimble,Generation,1024,,,66122208.0,ns,141
mimblewimble,Generation,1024,,,66397375.0,ns,144
mimblewimble,Generation,1024,,,68499417.0,ns,147
mimblewimble,Generation,1024,,,69586625.0,ns,150
mimblewimble,Generation,1024,,,71378958.0,ns,153
mimblewimble,Generation,1024,,,71975584.0,ns,156
mimblewimble,Generation,1024,,,73500792.0,ns,159
mimblewimble,Generation,1024,,,75082417.0,ns,162
mimblewimble,Generation,1024,,,76198875.0,ns,165
mimblewimble,Generation,1024,,,78006000.0,ns,168
mimblewimble,Generation,1024,,,79591250.0,ns,171
mimblewimble,Generation,1024,,,81191708.0,ns,174
mimblewimble,Generation,1024,,,81701250.0,ns,177
mimblewimble,Generation,1024,,,83130375.0,ns,180
mimblewimble,Generation,1024,,,84634459.0,ns,183
mimblewimble,Generation,1024,,,87308917.0,ns,186
mimblewimble,Generation,1024,,,88041291.0,ns,189
mimblewimble,Generation,1024,,,90275459.0,ns,192
mimblewimble,Generation,1024,,,90177584.0,ns,195
mimblewimble,Generation,1024,,,92743666.0,ns,198
mimblewimble,Generation,1024,,,97313292.0,ns,201
mimblewimble,Generation,1024,,,97904000.0,ns,204
mimblewimble,Generation,1024,,,99461958.0,ns,207
mimblewimble,Generation,1024,,,97538875.0,ns,210
mimblewimble,Generation,1024,,,112293042.0,ns,213
mimblewimble,Generation,1024,,,106668000.0,ns,216
mimblewimble,Generation,1024,,,103826459.0,ns,219
mimblewimble,Generation,1024,,,104147167.0,ns,222
mimblewimble,Generation,1024,,,106269666.0,ns,225
mimblewimble,Generation,1024,,,106882166.0,ns,228
mimblewimble,Generation,1024,,,109255666.0,ns,231
mimblewimble,Generation,1024,,,126446250.0,ns,234
mimblewimble,Generation,1024,,,120645709.0,ns,237
mimblewimble,Generation,1024,,,113847792.0,ns,240
mimblewimble,Generation,1024,,,112660958.0,ns,243
mimblewimble,Generation,1024,,,114551458.0,ns,246
mimblewimble,Generation,1024,,,115127709.0,ns,249
mimblewimble,Generation,1024,,,118884375.0,ns,252
mimblewimble,Generation,1024,,,126050750.0,ns,255
mimblewimble,Generation,1024,,,125542042.0,ns,258
mimblewimble,Generation,1024,,,123553041.0,ns,261
mimblewimble,Generation,1024,,,121893084.0,ns,264
mimblewimble,Generation,1024,,,123988625.0,ns,267
mimblewimble,Generation,1024,,,126657417.0,ns,270
mimblewimble,Generation,1024,,,132859584.0,ns,273
mimblewimble,Generation,1024,,,128144792.0,ns,276
mimblewimble,Generation,1024,,,129951125.0,ns,279
mimblewimble,Generation,1024,,,130464291.0,ns,282
mimblewimble,Generation,1024,,,131494250.0,ns,285
mimblewimble,Generation,1024,,,132731584.0,ns,288
mimblewimble,Generation,1024,,,134274458.0,ns,291
mimblewimble,Generation,1024,,,135709459.0,ns,294
mimblewimble,Generation,1024,,,138357000.0,ns,297
mimblewimble,Generation,1024,,,138084334.0,ns,300
