group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mimblewimble,Generation,65536,,,62639167.0,ns,8
mimblewimble,Generation,65536,,,52636375.0,ns,8
mimblewimble,Generation,65536,,,56279666.0,ns,8
mimblewimble,Generation,65536,,,54909375.0,ns,8
mimblewimble,Generation,65536,,,55028375.0,ns,8
mimblewimble,Generation,65536,,,50277209.0,ns,8
mimblewimble,Generation,65536,,,50707958.0,ns,8
mimblewimble,Generation,65536,,,50667042.0,ns,8
mimblewimble,Generation,65536,,,50435708.0,ns,8
mimblewimble,Generation,65536,,,50323542.0,ns,8
mimblewimble,Generation,65536,,,51453125.0,ns,8
mimblewimble,Generation,65536,,,50218750.0,ns,8
mimblewimble,Generation,65536,,,49958292.0,ns,8
mimblewimble,Generation,65536,,,50736917.0,ns,8
mimblewimble,Generation,65536,,,51554958.0,ns,8
mimblewimble,Generation,65536,,,50949500.0,ns,8
mimblewimble,Generation,65536,,,48813584.0,ns,8
mimblewimble,Generation,65536,,,49057666.0,ns,8
mimblewimble,Generation,65536,,,54576292.0,ns,8
mimblewimble,Generation,65536,,,58817500.0,ns,8
mimblewimble,Generation,65536,,,59737792.0,ns,8
mimblewimble,Generation,65536,,,54177250.0,ns,8
mimblewimble,Generation,65536,,,52720834.0,ns,8
mimblewimble,Generation,65536,,,50099709.0,ns,8
mimblewimble,Generation,65536,,,49516708.0,ns,8
mimblewimble,Generation,65536,,,50359084.0,ns,8
mimblewimble,Generation,65536,,,50227959.0,ns,8
mimblewimble,Generation,65536,,,49543750.0,ns,8
mimblewimble,Generation,65536,,,49801625.0,ns,8
mimblewimble,Generation,65536,,,52380375.0,ns,8
mimblewimble,Generation,65536,,,53870459.0,ns,8
mimblewimble,Generation,65536,,,56214375.0,ns,8
mimblewimble,Generation,65536,,,54277167.0,ns,8
mimblewimble,Generation,65536,,,51825292.0,ns,8
mimblewimble,Generation,65536,,,51957084.0,ns,8
mimblewimble,Generation,65536,,,50242250.0,ns,8
mimblewimble,Generation,65536,,,50122833.0,ns,8
mimblewimble,Generation,65536,,,51434667.0,ns,8
mimblewimble,Generation,65536,,,52535667.0,ns,8
mimblewimble,Generation,65536,,,57300375.0,ns,8
mimblewimble,Generation,65536,,,57412083.0,ns,8
mimblewimble,Generation,65536,,,51293625.0,ns,8
mimblewimble,Generation,65536,,,50620000.0,ns,8
mimblewimble,Generation,65536,,,51376792.0,ns,8
mimblewimble,Generation,65536,,,51412334.0,ns,8
mimblewimble,Generation,65536,,,50004208.0,ns,8
mimblewimble,Generation,65536,,,49748125.0,ns,8
mimblewimble,Generation,65536,,,51385667.0,ns,8
mimblewimble,Generation,65536,,,50377375.0,ns,8
mimblewimble,Generation,65536,,,54176291.0,ns,8
mimblewimble,Generation,65536,,,53407166.0,ns,8
mimblewimble,Generation,65536,,,51455875.0,ns,8
mimblewimble,Generation,65536,,,51435958.0,ns,8
mimblewimble,Generation,65536,,,52364083.0,ns,8
mimblewimble,Generation,65536,,,54169708.0,ns,8
mimblewimble,Generation,65536,,,52506292.0,ns,8
mimblewimble,Generation,65536,,,52292208.0,ns,8
mimblewimble,Generation,65536,,,51835667.0,ns,8
mimblewimble,Generation,65536,,,51936125.0,ns,8
mimblewimble,Generation,65536,,,52347917.0,ns,8
mimblewimble,Generation,65536,,,52418000.0,ns,8
mimblewimble,Generation,65536,,,54510792.0,ns,8
mimblewimble,Generation,65536,,,50355458.0,ns,8
mimblewimble,Generation,65536,,,50339250.0,ns,8
mimblewimble,Generation,65536,,,51034792.0,ns,8
mimblewimble,Generation,65536,,,51553917.0,ns,8
mimblewimble,Generation,65536,,,51766917.0,ns,8
mimblewimble,Generation,65536,,,50969042.0,ns,8
mimblewimble,Generation,65536,,,51580542.0,ns,8
mimblewimble,Generation,65536,,,51437458.0,ns,8
mimblewimble,Generation,65536,,,50543333.0,ns,8
mimblewimble,Generation,65536,,,50309000.0,ns,8
mimblewimble,Generation,65536,,,49852875.0,ns,8
mimblewimble,Generation,65536,,,49838250.0,ns,8
mimblewimble,Generation,65536,,,52160416.0,ns,8
mimblewimble,Generation,65536,,,53426958.0,ns,8
mimblewimble,Generation,65536,,,53411792.0,ns,8
mimblewimble,Generation,65536,,,51558500.0,ns,8
mimblewimble,Generation,65536,,,51879292.0,ns,8
mimblewimble,Generation,65536,,,53523458.0,ns,8
mimblewimble,Generation,65536,,,52080667.0,ns,8
mimblewimble,Generation,65536,,,51840000.0,ns,8
mimblewimble,Generation,65536,,,51899291.0,ns,8
mimblewimble,Generation,65536,,,52870917.0,ns,8
mimblewimble,Generation,65536,,,52780291.0,ns,8
mimblewimble,Generation,65536,,,51356333.0,ns,8
mimblewimble,Generation,65536,,,50969125.0,ns,8
mimblewimble,Generation,65536,,,51598084.0,ns,8
mimblewimble,Generation,65536,,,52218541.0,ns,8
mimblewimble,Generation,65536,,,51240208.0,ns,8
mimblewimble,Generation,65536,,,51700042.0,ns,8
mimblewimble,Generation,65536,,,50423459.0,ns,8
mimblewimble,Generation,65536,,,49364333.0,ns,8
mimblewimble,Generation,65536,,,49380208.0,ns,8
mimblewimble,Generation,65536,,,50577792.0,ns,8
mimblewimble,Generation,65536,,,49672500.0,ns,8
mimblewimble,Generation,65536,,,49483000.0,ns,8
mimblewimble,Generation,65536,,,48805125.0,ns,8
mimblewimble,Generation,65536,,,49690584.0,ns,8
mimblewimble,Generation,65536,,,51338041.0,ns,8
