group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mimblewimble,Verification,16384,,,49973167.0,ns,23
mimblewimble,Verification,16384,,,50910041.0,ns,23
mimblewimble,Verification,16384,,,49460167.0,ns,23
mimblewimble,Verification,16384,,,49398625.0,ns,23
mimblewimble,Verification,16384,,,49221708.0,ns,23
mimblewimble,Verification,16384,,,49818416.0,ns,23
mimblewimble,Verification,16384,,,51051667.0,ns,23
mimblewimble,Verification,16384,,,56748750.0,ns,23
mimblewimble,Verification,16384,,,57283916.0,ns,23
mimblewimble,Verification,16384,,,161087833.0,ns,23
mimblewimble,Verification,16384,,,89484458.0,ns,23
mimblewimble,Verification,16384,,,69911709.0,ns,23
mimblewimble,Verification,16384,,,79842791.0,ns,23
mimblewimble,Verification,16384,,,76171167.0,ns,23
mimblewimble,Verification,16384,,,75794958.0,ns,23
mimblewimble,Verification,16384,,,86050917.0,ns,23
mimblewimble,Verification,16384,,,73991834.0,ns,23
mimblewimble,Verification,16384,,,79479417.0,ns,23
mimblewimble,Verification,16384,,,67360625.0,ns,23
mimblewimble,Verification,16384,,,83646750.0,ns,23
mimblewimble,Verification,16384,,,76370541.0,ns,23
mimblewimble,Verification,16384,,,56414042.0,ns,23
mimblewimble,Verification,16384,,,61413750.0,ns,23
mimblewimble,Verification,16384,,,50548584.0,ns,23
mimblewimble,Verification,16384,,,51373042.0,ns,23
mimblewimble,Verification,16384,,,49922292.0,ns,23
mimblewimble,Verification,16384,,,51381250.0,ns,23
mimblewimble,Verification,16384,,,52244750.0,ns,23
mimblewimble,Verification,16384,,,53186833.0,ns,23
mimblewimble,Verification,16384,,,59257083.0,ns,23
mimblewimble,Verification,16384,,,51607667.0,ns,23
mimblewimble,Verification,16384,,,50695833.0,ns,23
mimblewimble,Verification,16384,,,50863375.0,ns,23
mimblewimble,Verification,16384,,,50349542.0,ns,23
mimblewimble,Verification,16384,,,50293542.0,ns,23
mimblewimble,Verification,16384,,,51790542.0,ns,23
mimblewimble,Verification,16384,,,50385709.0,ns,23
mimblewimble,Verification,16384,,,50119708.0,ns,23
mimblewimble,Verification,16384,,,50121250.0,ns,23
mimblewimble,Verification,16384,,,50626333.0,ns,23
mimblewimble,Verification,16384,,,49741250.0,ns,23
mimblewimble,Verification,16384,,,49641709.0,ns,23
mimblewimble,Verification,16384,,,52832375.0,ns,23
mimblewimble,Verification,16384,,,49689125.0,ns,23
mimblewimble,Verification,16384,,,50916958.0,ns,23
mimblewimble,Verification,16384,,,49795042.0,ns,23
mimblewimble,Verification,16384,,,49518708.0,ns,23
mimblewimble,Verification,16384,,,50218875.0,ns,23
mimblewimble,Verification,16384,,,54014708.0,ns,23
mimblewimble,Verification,16384,,,49792042.0,ns,23
mimblewimble,Verification,16384,,,49900958.0,ns,23
mimblewimble,Verification,16384,,,49127792.0,ns,23
mimblewimble,Verification,16384,,,49451500.0,ns,23
mimblewimble,Verification,16384,,,49490917.0,ns,23
mimblewimble,Verification,16384,,,49818459.0,ns,23
mimblewimble,Verification,16384,,,53312000.0,ns,23
mimblewimble,Verification,16384,,,50308042.0,ns,23
mimblewimble,Verification,16384,,,49754041.0,ns,23
mimblewimble,Verification,16384,,,50025584.0,ns,23
mimblewimble,Verification,16384,,,49942208.0,ns,23
mimblewimble,Verification,16384,,,49655291.0,ns,23
mimblewimble,Verification,16384,,,50306208.0,ns,23
mimblewimble,Verification,16384,,,51958833.0,ns,23
mimblewimble,Verification,16384,,,50823333.0,ns,23
mimblewimble,Verification,16384,,,50153250.0,ns,23
mimblewimble,Verification,16384,,,50482833.0,ns,23
mimblewimble,Verification,16384,,,50012625.0,ns,23
mimblewimble,Verification,16384,,,50414333.0,ns,23
mimblewimble,Verification,16384,,,52294958.0,ns,23
mimblewimble,Verification,16384,,,50919916.0,ns,23
mimblewimble,Verification,16384,,,49665208.0,ns,23
mimblewimble,Verification,16384,,,50157000.0,ns,23
mimblewimble,Verification,16384,,,51204333.0,ns,23
mimblewimble,Verification,16384,,,58960292.0,ns,23
mimblewimble,Verification,16384,,,55520666.0,ns,23
mimblewimble,Verification,16384,,,54258375.0,ns,23
mimblewimble,Verification,16384,,,49855791.0,ns,23
mimblewimble,Verification,16384,,,49813459.0,ns,23
mimblewimble,Verification,16384,,,49585834.0,ns,23
mimblewimble,Verification,16384,,,49590166.0,ns,23
mimblewimble,Verification,16384,,,49454667.0,ns,23
mimblewimble,Verification,16384,,,49439625.0,ns,23
mimblewimble,Verification,16384,,,49941792.0,ns,23
mimblewimble,Verification,16384,,,50849541.0,ns,23
mimblewimble,Verification,16384,,,50219709.0,ns,23
mimblewimble,Verification,16384,,,50540458.0,ns,23
mimblewimble,Verification,16384,,,52919292.0,ns,23
mimblewimble,Verification,16384,,,50331166.0,ns,23
mimblewimble,Verification,16384,,,51923125.0,ns,23
mimblewimble,Verification,16384,,,51202292.0,ns,23
mimblewimble,Verification,16384,,,49730208.0,ns,23
mimblewimble,Verification,16384,,,49209333.0,ns,23
mimblewimble,Verification,16384,,,49367000.0,ns,23
mimblewimble,Verification,16384,,,49486541.0,ns,23
mimblewimble,Verification,16384,,,49363334.0,ns,23
mimblewimble,Verification,16384,,,49351459.0,ns,23
mimblewimble,Verification,16384,,,49149292.0,ns,23
mimblewimble,Verification,16384,,,49480167.0,ns,23
mimblewimble,Verification,16384,,,49740667.0,ns,23
mimblewimble,Verification,16384,,,49230417.0,ns,23
