group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mimblewimble,Verification,32,,,1062959.0,ns,12
mimblewimble,Verification,32,,,2080208.0,ns,24
mimblewimble,Verification,32,,,3101041.0,ns,36
mimblewimble,Verification,32,,,4127208.0,ns,48
mimblewimble,Verification,32,,,5120625.0,ns,60
mimblewimble,Verification,32,,,6196500.0,ns,72
mimblewimble,Verification,32,,,7100708.0,ns,84
mimblewimble,Verification,32,,,8204875.0,ns,96
mimblewimble,Verification,32,,,9208416.0,ns,108
mimblewimble,Verification,32,,,10207458.0,ns,120
mimblewimble,Verification,32,,,11238708.0,ns,132
mimblewimble,Verification,32,,,12288125.0,ns,144
mimblewimble,Verification,32,,,13426125.0,ns,156
mimblewimble,Verification,32,,,15902458.0,ns,168
mimblewimble,Verification,32,,,15973667.0,ns,180
mimblewimble,Verification,32,,,16673041.0,ns,192
mimblewimble,Verification,32,,,17531791.0,ns,204
mimblewimble,Verification,32,,,18565667.0,ns,216
mimblewimble,Verification,32,,,19759125.0,ns,228
mimblewimble,Verification,32,,,20635042.0,ns,240
mimblewimble,Verification,32,,,21594416.0,ns,252
mimblewimble,Verification,32,,,22424333.0,ns,264
mimblewimble,Verification,32,,,23688166.0,ns,276
mimblewimble,Verification,32,,,24952541.0,ns,288
mimblewimble,Verification,32,,,25632000.0,ns,300
mimblewimble,Verification,32,,,26902250.0,ns,312
mimblewimble,Verification,32,,,27485750.0,ns,324
mimblewimble,Verification,32,,,28959917.0,ns,336
mimblewimble,Verification,32,,,29699083.0,ns,348
mimblewimble,Verification,32,,,30715000.0,ns,360
mimblewimble,Verification,32,,,31702000.0,ns,372
mimblewimble,Verification,32,,,33108167.0,ns,384
mimblewimble,Verification,32,,,33671916.0,ns,396
mimblewimble,Verification,32,,,35252541.0,ns,408
mimblewimble,Verification,32,,,36037083.0,ns,420
mimblewimble,Verification,32,,,37010750.0,ns,432
mimblewimble,Verification,32,,,37794250.0,ns,444
mimblewimble,Verification,32,,,43395042.0,ns,456
mimblewimble,Verification,32,,,42927834.0,ns,468
mimblewimble,Verification,32,,,44118250.0,ns,480
mimblewimble,Verification,32,,,42429292.0,ns,492
mimblewimble,Verification,32,,,44874042.0,ns,504
mimblewimble,Verification,32,,,45500042.0,ns,516
mimblewimble,Verification,32,,,44887250.0,ns,528
mimblewimble,Verification,32,,,46583541.0,ns,540
mimblewimble,Verification,32,,,47209791.0,ns,552
mimblewimble,Verification,32,,,48252750.0,ns,564
mimblewimble,Verification,32,,,49152042.0,ns,576
mimblewimble,Verification,32,,,50172458.0,ns,588
mimblewimble,Verification,32,,,51742709.0,ns,600
mimblewimble,Verification,32,,,53708000.0,ns,612
mimblewimble,Verification,32,,,53187833.0,ns,624
mimblewimble,Verification,32,,,54499292.0,ns,636
mimblewimble,Verification,32,,,55396334.0,ns,648
mimblewimble,Verification,32,,,56315167.0,ns,660
mimblewimble,Verification,32,,,57651000.0,ns,672
mimblewimble,Verification,32,,,59406291.0,ns,684
mimblewimble,Verification,32,,,59192667.0,ns,696
mimblewimble,Verification,32,,,62845667.0,ns,708
mimblewimble,Verification,32,,,61941791.0,ns,720
mimblewimble,Verification,32,,,62536250.0,ns,732
mimblewimble,Verification,32,,,64951709.0,ns,744
mimblewimble,Verification,32,,,65213000.0,ns,756
mimblewimble,Verification,32,,,65948250.0,ns,768
mimblewimble,Verification,32,,,66811708.0,ns,780
mimblewimble,Verification,32,,,67603541.0,ns,792
mimblewimble,Verification,32,,,68857125.0,ns,804
mimblewimble,Verification,32,,,73234000.0,ns,816
mimblewimble,Verification,32,,,70985750.0,ns,828
mimblewimble,Verification,32,,,71781875.0,ns,840
mimblewimble,Verification,32,,,73211417.0,ns,852
mimblewimble,Verification,32,,,74074917.0,ns,864
mimblewimble,Verification,32,,,74913541.0,ns,876
mimblewimble,Verification,32,,,76376875.0,ns,888
mimblewimble,Verification,32,,,78198583.0,ns,900
mimblewimble,Verification,32,,,78194417.0,ns,912
mimblewimble,Verification,32,,,78814084.0,ns,924
mimblewimble,Verification,32,,,80423750.0,ns,936
mimblewimble,Verification,32,,,81059667.0,ns,948
mimblewimble,Verification,32,,,81912625.0,ns,960
mimblewimble,Verification,32,,,84672375.0,ns,972
mimblewimble,Verification,32,,,86843542.0,ns,984
mimblewimble,Verification,32,,,85356792.0,ns,996
mimblewimble,Verification,32,,,86650416.0,ns,1008
mimblewimble,Verification,32,,,87810458.0,ns,1020
mimblewimble,Verification,32,,,87748500.0,ns,1032
mimblewimble,Verification,32,,,91025583.0,ns,1044
mimblewimble,Verification,32,,,90551708.0,ns,1056
mimblewimble,Verification,32,,,91094166.0,ns,1068
mimblewimble,Verification,32,,,92347458.0,ns,1080
mimblewimble,Verification,32,,,93115875.0,ns,1092
mimblewimble,Verification,32,,,94641959.0,ns,1104
mimblewimble,Verification,32,,,95750458.0,ns,1116
mimblewimble,Verification,32,,,97271167.0,ns,1128
mimblewimble,Verification,32,,,98772375.0,ns,1140
mimblewimble,Verification,32,,,98686417.0,ns,1152
mimblewimble,Verification,32,,,98849709.0,ns,1164
mimblewimble,Verification,32,,,102356583.0,ns,1176
mimblewimble,Verification,32,,,101787334.0,ns,1188
mimblewimble,Verification,32,,,102085584.0,ns,1200
