group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mimblewimble_gen,mw_gen:256,,,,1218250.0,ns,2
mimblewimble_gen,mw_gen:256,,,,2468916.0,ns,4
mimblewimble_gen,mw_gen:256,,,,3694333.0,ns,6
mimblewimble_gen,mw_gen:256,,,,5103041.0,ns,8
mimblewimble_gen,mw_gen:256,,,,5963917.0,ns,10
mimblewimble_gen,mw_gen:256,,,,7186709.0,ns,12
mimblewimble_gen,mw_gen:256,,,,8283916.0,ns,14
mimblewimble_gen,mw_gen:256,,,,9566083.0,ns,16
mimblewimble_gen,mw_gen:256,,,,10627583.0,ns,18
mimblewimble_gen,mw_gen:256,,,,11797292.0,ns,20
mimblewimble_gen,mw_gen:256,,,,12965875.0,ns,22
mimblewimble_gen,mw_gen:256,,,,14238209.0,ns,24
mimblewimble_gen,mw_gen:256,,,,15335875.0,ns,26
mimblewimble_gen,mw_gen:256,,,,16534208.0,ns,28
mimblewimble_gen,mw_gen:256,,,,17826167.0,ns,30
mimblewimble_gen,mw_gen:256,,,,19192042.0,ns,32
mimblewimble_gen,mw_gen:256,,,,20022917.0,ns,34
mimblewimble_gen,mw_gen:256,,,,21224708.0,ns,36
mimblewimble_gen,mw_gen:256,,,,22411666.0,ns,38
mimblewimble_gen,mw_gen:256,,,,23633000.0,ns,40
mimblewimble_gen,mw_gen:256,,,,24770708.0,ns,42
mimblewimble_gen,mw_gen:256,,,,26440458.0,ns,44
mimblewimble_gen,mw_gen:256,,,,27427667.0,ns,46
mimblewimble_gen,mw_gen:256,,,,28389042.0,ns,48
mimblewimble_gen,mw_gen:256,,,,29702084.0,ns,50
mimblewimble_gen,mw_gen:256,,,,30658584.0,ns,52
mimblewimble_gen,mw_gen:256,,,,31852500.0,ns,54
mimblewimble_gen,mw_gen:256,,,,33875000.0,ns,56
mimblewimble_gen,mw_gen:256,,,,34786625.0,ns,58
mimblewimble_gen,mw_gen:256,,,,35846625.0,ns,60
mimblewimble_gen,mw_gen:256,,,,37105542.0,ns,62
mimblewimble_gen,mw_gen:256,,,,38169375.0,ns,64
mimblewimble_gen,mw_gen:256,,,,38974833.0,ns,66
mimblewimble_gen,mw_gen:256,,,,40112000.0,ns,68
mimblewimble_gen,mw_gen:256,,,,41364417.0,ns,70
mimblewimble_gen,mw_gen:256,,,,42489292.0,ns,72
mimblewimble_gen,mw_gen:256,,,,44192916.0,ns,74
mimblewimble_gen,mw_gen:256,,,,46534333.0,ns,76
mimblewimble_gen,mw_gen:256,,,,48989750.0,ns,78
mimblewimble_gen,mw_gen:256,,,,49361792.0,ns,80
mimblewimble_gen,mw_gen:256,,,,51606709.0,ns,82
mimblewimble_gen,mw_gen:256,,,,52182084.0,ns,84
mimblewimble_gen,mw_gen:256,,,,51819000.0,ns,86
mimblewimble_gen,mw_gen:256,,,,52222584.0,ns,88
mimblewimble_gen,mw_gen:256,,,,53574375.0,ns,90
mimblewimble_gen,mw_gen:256,,,,54752959.0,ns,92
mimblewimble_gen,mw_gen:256,,,,56840209.0,ns,94
mimblewimble_gen,mw_gen:256,,,,56758083.0,ns,96
mimblewimble_gen,mw_gen:256,,,,57745000.0,ns,98
mimblewimble_gen,mw_gen:256,,,,60759875.0,ns,100
mimblewimble_gen,mw_gen:256,,,,61892583.0,ns,102
mimblewimble_gen,mw_gen:256,,,,62008541.0,ns,104
mimblewimble_gen,mw_gen:256,,,,62524666.0,ns,106
mimblewimble_gen,mw_gen:256,,,,63763417.0,ns,108
mimblewimble_gen,mw_gen:256,,,,65277917.0,ns,110
mimblewimble_gen,mw_gen:256,,,,66141042.0,ns,112
