group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mimblewimble_verify,mw_verify:256,,,,1171625.0,ns,5
mimblewimble_verify,mw_verify:256,,,,2274583.0,ns,10
mimblewimble_verify,mw_verify:256,,,,3501083.0,ns,15
mimblewimble_verify,mw_verify:256,,,,4778416.0,ns,20
mimblewimble_verify,mw_verify:256,,,,5840375.0,ns,25
mimblewimble_verify,mw_verify:256,,,,6822333.0,ns,30
mimblewimble_verify,mw_verify:256,,,,7904625.0,ns,35
mimblewimble_verify,mw_verify:256,,,,8956917.0,ns,40
mimblewimble_verify,mw_verify:256,,,,10114084.0,ns,45
mimblewimble_verify,mw_verify:256,,,,11200709.0,ns,50
mimblewimble_verify,mw_verify:256,,,,12337875.0,ns,55
mimblewimble_verify,mw_verify:256,,,,13507292.0,ns,60
mimblewimble_verify,mw_verify:256,,,,14560834.0,ns,65
mimblewimble_verify,mw_verify:256,,,,15804958.0,ns,70
mimblewimble_verify,mw_verify:256,,,,16836625.0,ns,75
mimblewimble_verify,mw_verify:256,,,,17936375.0,ns,80
mimblewimble_verify,mw_verify:256,,,,19053083.0,ns,85
mimblewimble_verify,mw_verify:256,,,,20255000.0,ns,90
mimblewimble_verify,mw_verify:256,,,,21279583.0,ns,95
mimblewimble_verify,mw_verify:256,,,,22390792.0,ns,100
mimblewimble_verify,mw_verify:256,,,,23519666.0,ns,105
mimblewimble_verify,mw_verify:256,,,,24766458.0,ns,110
mimblewimble_verify,mw_verify:256,,,,25793959.0,ns,115
mimblewimble_verify,mw_verify:256,,,,26900334.0,ns,120
mimblewimble_verify,mw_verify:256,,,,28016750.0,ns,125
mimblewimble_verify,mw_verify:256,,,,29161834.0,ns,130
mimblewimble_verify,mw_verify:256,,,,30271500.0,ns,135
mimblewimble_verify,mw_verify:256,,,,31415708.0,ns,140
mimblewimble_verify,mw_verify:256,,,,32618250.0,ns,145
mimblewimble_verify,mw_verify:256,,,,33681625.0,ns,150
mimblewimble_verify,mw_verify:256,,,,35058500.0,ns,155
mimblewimble_verify,mw_verify:256,,,,35904792.0,ns,160
mimblewimble_verify,mw_verify:256,,,,37001292.0,ns,165
mimblewimble_verify,mw_verify:256,,,,38131583.0,ns,170
mimblewimble_verify,mw_verify:256,,,,39301458.0,ns,175
mimblewimble_verify,mw_verify:256,,,,40875458.0,ns,180
mimblewimble_verify,mw_verify:256,,,,42117583.0,ns,185
mimblewimble_verify,mw_verify:256,,,,42576917.0,ns,190
mimblewimble_verify,mw_verify:256,,,,43700709.0,ns,195
mimblewimble_verify,mw_verify:256,,,,44858542.0,ns,200
mimblewimble_verify,mw_verify:256,,,,45976750.0,ns,205
mimblewimble_verify,mw_verify:256,,,,47127709.0,ns,210
mimblewimble_verify,mw_verify:256,,,,48507875.0,ns,215
mimblewimble_verify,mw_verify:256,,,,49471708.0,ns,220
mimblewimble_verify,mw_verify:256,,,,50548334.0,ns,225
mimblewimble_verify,mw_verify:256,,,,51818500.0,ns,230
mimblewimble_verify,mw_verify:256,,,,52707417.0,ns,235
mimblewimble_verify,mw_verify:256,,,,53902667.0,ns,240
mimblewimble_verify,mw_verify:256,,,,54958959.0,ns,245
mimblewimble_verify,mw_verify:256,,,,56452625.0,ns,250
mimblewimble_verify,mw_verify:256,,,,58124917.0,ns,255
mimblewimble_verify,mw_verify:256,,,,58657750.0,ns,260
mimblewimble_verify,mw_verify:256,,,,59563833.0,ns,265
mimblewimble_verify,mw_verify:256,,,,60567042.0,ns,270
mimblewimble_verify,mw_verify:256,,,,61724334.0,ns,275
mimblewimble_verify,mw_verify:256,,,,63156208.0,ns,280
mimblewimble_verify,mw_verify:256,,,,64447583.0,ns,285
mimblewimble_verify,mw_verify:256,,,,65052791.0,ns,290
mimblewimble_verify,mw_verify:256,,,,66136541.0,ns,295
mimblewimble_verify,mw_verify:256,,,,67222292.0,ns,300
mimblewimble_verify,mw_verify:256,,,,68679667.0,ns,305
mimblewimble_verify,mw_verify:256,,,,69928292.0,ns,310
mimblewimble_verify,mw_verify:256,,,,70861500.0,ns,315
mimblewimble_verify,mw_verify:256,,,,71913250.0,ns,320
mimblewimble_verify,mw_verify:256,,,,72828292.0,ns,325
mimblewimble_verify,mw_verify:256,,,,73956583.0,ns,330
mimblewimble_verify,mw_verify:256,,,,75264208.0,ns,335
mimblewimble_verify,mw_verify:256,,,,76659625.0,ns,340
mimblewimble_verify,mw_verify:256,,,,77574750.0,ns,345
mimblewimble_verify,mw_verify:256,,,,78552084.0,ns,350
mimblewimble_verify,mw_verify:256,,,,80710875.0,ns,355
mimblewimble_verify,mw_verify:256,,,,81014708.0,ns,360
