group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mw_gen:2,,,,,1356667.0,ns,2
mw_gen:2,,,,,2501875.0,ns,4
mw_gen:2,,,,,3746292.0,ns,6
mw_gen:2,,,,,5119959.0,ns,8
mw_gen:2,,,,,6319833.0,ns,10
mw_gen:2,,,,,7584709.0,ns,12
mw_gen:2,,,,,8721000.0,ns,14
mw_gen:2,,,,,9910584.0,ns,16
mw_gen:2,,,,,11115833.0,ns,18
mw_gen:2,,,,,12357041.0,ns,20
mw_gen:2,,,,,13714208.0,ns,22
mw_gen:2,,,,,14811959.0,ns,24
mw_gen:2,,,,,16024625.0,ns,26
mw_gen:2,,,,,17277417.0,ns,28
mw_gen:2,,,,,18601333.0,ns,30
mw_gen:2,,,,,19844792.0,ns,32
mw_gen:2,,,,,21130500.0,ns,34
mw_gen:2,,,,,22250167.0,ns,36
mw_gen:2,,,,,23552375.0,ns,38
mw_gen:2,,,,,24681000.0,ns,40
mw_gen:2,,,,,26002625.0,ns,42
mw_gen:2,,,,,27610167.0,ns,44
mw_gen:2,,,,,29341041.0,ns,46
mw_gen:2,,,,,30689417.0,ns,48
mw_gen:2,,,,,31604625.0,ns,50
mw_gen:2,,,,,32634583.0,ns,52
mw_gen:2,,,,,33981000.0,ns,54
mw_gen:2,,,,,34621291.0,ns,56
mw_gen:2,,,,,35867750.0,ns,58
mw_gen:2,,,,,37114584.0,ns,60
mw_gen:2,,,,,38532792.0,ns,62
mw_gen:2,,,,,40117084.0,ns,64
mw_gen:2,,,,,41210000.0,ns,66
mw_gen:2,,,,,42040625.0,ns,68
mw_gen:2,,,,,44369834.0,ns,70
mw_gen:2,,,,,45191625.0,ns,72
mw_gen:2,,,,,45784167.0,ns,74
mw_gen:2,,,,,47881417.0,ns,76
mw_gen:2,,,,,48567083.0,ns,78
mw_gen:2,,,,,49530500.0,ns,80
mw_gen:2,,,,,51491625.0,ns,82
mw_gen:2,,,,,53494042.0,ns,84
mw_gen:2,,,,,53933458.0,ns,86
mw_gen:2,,,,,54488417.0,ns,88
mw_gen:2,,,,,55601917.0,ns,90
mw_gen:2,,,,,56880875.0,ns,92
mw_gen:2,,,,,58891000.0,ns,94
mw_gen:2,,,,,60377375.0,ns,96
mw_gen:2,,,,,61473458.0,ns,98
mw_gen:2,,,,,62118709.0,ns,100
mw_gen:2,,,,,63949000.0,ns,102
mw_gen:2,,,,,64832542.0,ns,104
mw_gen:2,,,,,65474625.0,ns,106
mw_gen:2,,,,,67669792.0,ns,108
mw_gen:2,,,,,70664458.0,ns,110
mw_gen:2,,,,,71659958.0,ns,112
mw_gen:2,,,,,72460250.0,ns,114
mw_gen:2,,,,,72003167.0,ns,116
mw_gen:2,,,,,73111167.0,ns,118
mw_gen:2,,,,,74091542.0,ns,120
mw_gen:2,,,,,75613417.0,ns,122
mw_gen:2,,,,,76752584.0,ns,124
mw_gen:2,,,,,78591250.0,ns,126
mw_gen:2,,,,,79719083.0,ns,128
mw_gen:2,,,,,81003750.0,ns,130
mw_gen:2,,,,,81742959.0,ns,132
mw_gen:2,,,,,83783458.0,ns,134
mw_gen:2,,,,,86931959.0,ns,136
mw_gen:2,,,,,87181750.0,ns,138
mw_gen:2,,,,,87052125.0,ns,140
mw_gen:2,,,,,88505250.0,ns,142
mw_gen:2,,,,,89213167.0,ns,144
mw_gen:2,,,,,91370834.0,ns,146
mw_gen:2,,,,,92933792.0,ns,148
mw_gen:2,,,,,94087292.0,ns,150
mw_gen:2,,,,,95744292.0,ns,152
mw_gen:2,,,,,96203833.0,ns,154
mw_gen:2,,,,,97169750.0,ns,156
mw_gen:2,,,,,99468667.0,ns,158
mw_gen:2,,,,,101852750.0,ns,160
mw_gen:2,,,,,103447250.0,ns,162
mw_gen:2,,,,,102367458.0,ns,164
mw_gen:2,,,,,102511709.0,ns,166
mw_gen:2,,,,,104953833.0,ns,168
mw_gen:2,,,,,104889000.0,ns,170
mw_gen:2,,,,,107332584.0,ns,172
mw_gen:2,,,,,107920833.0,ns,174
mw_gen:2,,,,,110038667.0,ns,176
mw_gen:2,,,,,112034875.0,ns,178
mw_gen:2,,,,,114181541.0,ns,180
mw_gen:2,,,,,113264625.0,ns,182
mw_gen:2,,,,,114636167.0,ns,184
mw_gen:2,,,,,116549083.0,ns,186
mw_gen:2,,,,,117814334.0,ns,188
mw_gen:2,,,,,119120958.0,ns,190
mw_gen:2,,,,,120011209.0,ns,192
mw_gen:2,,,,,121719084.0,ns,194
mw_gen:2,,,,,121642292.0,ns,196
mw_gen:2,,,,,123587417.0,ns,198
mw_gen:2,,,,,123767000.0,ns,200
