group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mw_gen:2^10,,,,,66364958.0,ns,1
mw_gen:2^10,,,,,65540542.0,ns,1
mw_gen:2^10,,,,,65717166.0,ns,1
mw_gen:2^10,,,,,64822417.0,ns,1
mw_gen:2^10,,,,,64344042.0,ns,1
mw_gen:2^10,,,,,64489709.0,ns,1
mw_gen:2^10,,,,,64710750.0,ns,1
mw_gen:2^10,,,,,65545042.0,ns,1
mw_gen:2^10,,,,,65858084.0,ns,1
mw_gen:2^10,,,,,66689125.0,ns,1
mw_gen:2^10,,,,,64818042.0,ns,1
mw_gen:2^10,,,,,65389833.0,ns,1
mw_gen:2^10,,,,,65419542.0,ns,1
mw_gen:2^10,,,,,65680250.0,ns,1
mw_gen:2^10,,,,,66076042.0,ns,1
mw_gen:2^10,,,,,66364083.0,ns,1
mw_gen:2^10,,,,,65979916.0,ns,1
mw_gen:2^10,,,,,65588459.0,ns,1
mw_gen:2^10,,,,,64431458.0,ns,1
mw_gen:2^10,,,,,64503750.0,ns,1
mw_gen:2^10,,,,,64490458.0,ns,1
mw_gen:2^10,,,,,64662250.0,ns,1
mw_gen:2^10,,,,,64529000.0,ns,1
mw_gen:2^10,,,,,65867958.0,ns,1
mw_gen:2^10,,,,,64356083.0,ns,1
mw_gen:2^10,,,,,64681833.0,ns,1
mw_gen:2^10,,,,,64850167.0,ns,1
mw_gen:2^10,,,,,64282125.0,ns,1
mw_gen:2^10,,,,,64551125.0,ns,1
mw_gen:2^10,,,,,64478167.0,ns,1
mw_gen:2^10,,,,,64186042.0,ns,1
mw_gen:2^10,,,,,64244625.0,ns,1
mw_gen:2^10,,,,,65365334.0,ns,1
mw_gen:2^10,,,,,64709500.0,ns,1
mw_gen:2^10,,,,,64654250.0,ns,1
mw_gen:2^10,,,,,65391542.0,ns,1
mw_gen:2^10,,,,,64183209.0,ns,1
mw_gen:2^10,,,,,65114583.0,ns,1
mw_gen:2^10,,,,,65576750.0,ns,1
mw_gen:2^10,,,,,65288334.0,ns,1
mw_gen:2^10,,,,,65404333.0,ns,1
mw_gen:2^10,,,,,66012583.0,ns,1
mw_gen:2^10,,,,,65426417.0,ns,1
mw_gen:2^10,,,,,65929667.0,ns,1
mw_gen:2^10,,,,,65458167.0,ns,1
mw_gen:2^10,,,,,65392084.0,ns,1
mw_gen:2^10,,,,,65084042.0,ns,1
mw_gen:2^10,,,,,65079416.0,ns,1
mw_gen:2^10,,,,,65012625.0,ns,1
mw_gen:2^10,,,,,65143125.0,ns,1
mw_gen:2^10,,,,,65159167.0,ns,1
mw_gen:2^10,,,,,65642667.0,ns,1
mw_gen:2^10,,,,,65732625.0,ns,1
mw_gen:2^10,,,,,67169708.0,ns,1
mw_gen:2^10,,,,,66997584.0,ns,1
mw_gen:2^10,,,,,66621750.0,ns,1
mw_gen:2^10,,,,,65775792.0,ns,1
mw_gen:2^10,,,,,65467500.0,ns,1
mw_gen:2^10,,,,,65375917.0,ns,1
mw_gen:2^10,,,,,65130416.0,ns,1
mw_gen:2^10,,,,,65085833.0,ns,1
mw_gen:2^10,,,,,65423583.0,ns,1
mw_gen:2^10,,,,,65056209.0,ns,1
mw_gen:2^10,,,,,64683625.0,ns,1
mw_gen:2^10,,,,,64691792.0,ns,1
mw_gen:2^10,,,,,64742834.0,ns,1
mw_gen:2^10,,,,,64670667.0,ns,1
mw_gen:2^10,,,,,64630458.0,ns,1
mw_gen:2^10,,,,,64424916.0,ns,1
mw_gen:2^10,,,,,65091291.0,ns,1
mw_gen:2^10,,,,,65185500.0,ns,1
mw_gen:2^10,,,,,65338333.0,ns,1
mw_gen:2^10,,,,,65504792.0,ns,1
mw_gen:2^10,,,,,65167625.0,ns,1
mw_gen:2^10,,,,,65268791.0,ns,1
mw_gen:2^10,,,,,64665084.0,ns,1
mw_gen:2^10,,,,,64627625.0,ns,1
mw_gen:2^10,,,,,64589959.0,ns,1
mw_gen:2^10,,,,,65375583.0,ns,1
mw_gen:2^10,,,,,65005750.0,ns,1
mw_gen:2^10,,,,,64555709.0,ns,1
mw_gen:2^10,,,,,64845084.0,ns,1
mw_gen:2^10,,,,,64655334.0,ns,1
mw_gen:2^10,,,,,64454666.0,ns,1
mw_gen:2^10,,,,,64473750.0,ns,1
mw_gen:2^10,,,,,64444125.0,ns,1
mw_gen:2^10,,,,,64264917.0,ns,1
mw_gen:2^10,,,,,64134542.0,ns,1
mw_gen:2^10,,,,,64149917.0,ns,1
mw_gen:2^10,,,,,64194834.0,ns,1
mw_gen:2^10,,,,,64516292.0,ns,1
mw_gen:2^10,,,,,65025625.0,ns,1
mw_gen:2^10,,,,,65352250.0,ns,1
mw_gen:2^10,,,,,64083250.0,ns,1
mw_gen:2^10,,,,,64284333.0,ns,1
mw_gen:2^10,,,,,64397875.0,ns,1
mw_gen:2^10,,,,,64760875.0,ns,1
mw_gen:2^10,,,,,64807333.0,ns,1
mw_gen:2^10,,,,,64413167.0,ns,1
mw_gen:2^10,,,,,64393708.0,ns,1
