group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mw_verify:2^14,,,,,50925292.0,ns,24
mw_verify:2^14,,,,,50429000.0,ns,24
mw_verify:2^14,,,,,50802500.0,ns,24
mw_verify:2^14,,,,,50896209.0,ns,24
mw_verify:2^14,,,,,50450750.0,ns,24
mw_verify:2^14,,,,,50775666.0,ns,24
mw_verify:2^14,,,,,50411750.0,ns,24
mw_verify:2^14,,,,,51149750.0,ns,24
mw_verify:2^14,,,,,50445250.0,ns,24
mw_verify:2^14,,,,,50748209.0,ns,24
mw_verify:2^14,,,,,50867166.0,ns,24
mw_verify:2^14,,,,,51081916.0,ns,24
mw_verify:2^14,,,,,50784375.0,ns,24
mw_verify:2^14,,,,,50700834.0,ns,24
mw_verify:2^14,,,,,50530417.0,ns,24
mw_verify:2^14,,,,,50528833.0,ns,24
mw_verify:2^14,,,,,50736500.0,ns,24
mw_verify:2^14,,,,,50947666.0,ns,24
mw_verify:2^14,,,,,50686750.0,ns,24
mw_verify:2^14,,,,,51095333.0,ns,24
mw_verify:2^14,,,,,50776750.0,ns,24
mw_verify:2^14,,,,,50527208.0,ns,24
mw_verify:2^14,,,,,51258500.0,ns,24
mw_verify:2^14,,,,,50818833.0,ns,24
mw_verify:2^14,,,,,50705209.0,ns,24
mw_verify:2^14,,,,,50787708.0,ns,24
mw_verify:2^14,,,,,50535584.0,ns,24
mw_verify:2^14,,,,,50991958.0,ns,24
mw_verify:2^14,,,,,50821292.0,ns,24
mw_verify:2^14,,,,,50945125.0,ns,24
mw_verify:2^14,,,,,51600708.0,ns,24
mw_verify:2^14,,,,,51328959.0,ns,24
mw_verify:2^14,,,,,51940208.0,ns,24
mw_verify:2^14,,,,,52027708.0,ns,24
mw_verify:2^14,,,,,50868292.0,ns,24
mw_verify:2^14,,,,,50756250.0,ns,24
mw_verify:2^14,,,,,50602792.0,ns,24
mw_verify:2^14,,,,,51348250.0,ns,24
mw_verify:2^14,,,,,51123125.0,ns,24
mw_verify:2^14,,,,,50659792.0,ns,24
mw_verify:2^14,,,,,50659250.0,ns,24
mw_verify:2^14,,,,,50687500.0,ns,24
mw_verify:2^14,,,,,51310417.0,ns,24
mw_verify:2^14,,,,,50634250.0,ns,24
mw_verify:2^14,,,,,50704750.0,ns,24
mw_verify:2^14,,,,,50588083.0,ns,24
mw_verify:2^14,,,,,50828000.0,ns,24
mw_verify:2^14,,,,,51549583.0,ns,24
mw_verify:2^14,,,,,50754417.0,ns,24
mw_verify:2^14,,,,,51064208.0,ns,24
mw_verify:2^14,,,,,50629834.0,ns,24
mw_verify:2^14,,,,,50443375.0,ns,24
mw_verify:2^14,,,,,51230083.0,ns,24
mw_verify:2^14,,,,,51069584.0,ns,24
mw_verify:2^14,,,,,51062041.0,ns,24
mw_verify:2^14,,,,,51083042.0,ns,24
mw_verify:2^14,,,,,50859625.0,ns,24
mw_verify:2^14,,,,,51114500.0,ns,24
mw_verify:2^14,,,,,51344792.0,ns,24
mw_verify:2^14,,,,,51287209.0,ns,24
mw_verify:2^14,,,,,51085250.0,ns,24
mw_verify:2^14,,,,,50998834.0,ns,24
mw_verify:2^14,,,,,51067250.0,ns,24
mw_verify:2^14,,,,,50570167.0,ns,24
mw_verify:2^14,,,,,50800000.0,ns,24
mw_verify:2^14,,,,,50619083.0,ns,24
mw_verify:2^14,,,,,50513334.0,ns,24
mw_verify:2^14,,,,,50805083.0,ns,24
mw_verify:2^14,,,,,50945875.0,ns,24
mw_verify:2^14,,,,,50706625.0,ns,24
mw_verify:2^14,,,,,51428333.0,ns,24
mw_verify:2^14,,,,,50638375.0,ns,24
mw_verify:2^14,,,,,50950417.0,ns,24
mw_verify:2^14,,,,,50662167.0,ns,24
mw_verify:2^14,,,,,50615209.0,ns,24
mw_verify:2^14,,,,,50922542.0,ns,24
mw_verify:2^14,,,,,50605791.0,ns,24
mw_verify:2^14,,,,,51044959.0,ns,24
mw_verify:2^14,,,,,50835708.0,ns,24
mw_verify:2^14,,,,,50744125.0,ns,24
mw_verify:2^14,,,,,50529834.0,ns,24
mw_verify:2^14,,,,,50623000.0,ns,24
mw_verify:2^14,,,,,50638458.0,ns,24
mw_verify:2^14,,,,,50649000.0,ns,24
mw_verify:2^14,,,,,50791500.0,ns,24
mw_verify:2^14,,,,,50384250.0,ns,24
mw_verify:2^14,,,,,50105334.0,ns,24
mw_verify:2^14,,,,,50342375.0,ns,24
mw_verify:2^14,,,,,50351250.0,ns,24
mw_verify:2^14,,,,,49931375.0,ns,24
mw_verify:2^14,,,,,50678917.0,ns,24
mw_verify:2^14,,,,,50931208.0,ns,24
mw_verify:2^14,,,,,50258417.0,ns,24
mw_verify:2^14,,,,,50537667.0,ns,24
mw_verify:2^14,,,,,50034000.0,ns,24
mw_verify:2^14,,,,,50252375.0,ns,24
mw_verify:2^14,,,,,50089666.0,ns,24
mw_verify:2^14,,,,,50699292.0,ns,24
mw_verify:2^14,,,,,50581875.0,ns,24
mw_verify:2^14,,,,,50187084.0,ns,24
