group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
netnotes,Generation,32768,,,954143042.0,ns,1
netnotes,Generation,32768,,,931007291.0,ns,1
netnotes,Generation,32768,,,937193167.0,ns,1
netnotes,Generation,32768,,,954925125.0,ns,1
netnotes,Generation,32768,,,944932209.0,ns,1
netnotes,Generation,32768,,,919394875.0,ns,1
netnotes,Generation,32768,,,949837750.0,ns,1
netnotes,Generation,32768,,,969352292.0,ns,1
netnotes,Generation,32768,,,967353250.0,ns,1
netnotes,Generation,32768,,,952976833.0,ns,1
