group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nn_gen:2,,,,,54728542.0,ns,7
nn_gen:2,,,,,54421000.0,ns,7
nn_gen:2,,,,,54409291.0,ns,7
nn_gen:2,,,,,54730542.0,ns,7
nn_gen:2,,,,,55454500.0,ns,7
nn_gen:2,,,,,54750583.0,ns,7
nn_gen:2,,,,,54675000.0,ns,7
nn_gen:2,,,,,54745458.0,ns,7
nn_gen:2,,,,,54642833.0,ns,7
nn_gen:2,,,,,54807083.0,ns,7
nn_gen:2,,,,,54851750.0,ns,7
nn_gen:2,,,,,54753125.0,ns,7
nn_gen:2,,,,,54631375.0,ns,7
nn_gen:2,,,,,54780083.0,ns,7
nn_gen:2,,,,,54875042.0,ns,7
nn_gen:2,,,,,54414875.0,ns,7
nn_gen:2,,,,,54242166.0,ns,7
nn_gen:2,,,,,54314666.0,ns,7
nn_gen:2,,,,,54281958.0,ns,7
nn_gen:2,,,,,54373000.0,ns,7
nn_gen:2,,,,,54231166.0,ns,7
nn_gen:2,,,,,55080750.0,ns,7
nn_gen:2,,,,,54690208.0,ns,7
nn_gen:2,,,,,54469416.0,ns,7
nn_gen:2,,,,,54745708.0,ns,7
nn_gen:2,,,,,54240334.0,ns,7
nn_gen:2,,,,,54308250.0,ns,7
nn_gen:2,,,,,54396833.0,ns,7
nn_gen:2,,,,,54632250.0,ns,7
nn_gen:2,,,,,54604708.0,ns,7
nn_gen:2,,,,,55255500.0,ns,7
nn_gen:2,,,,,56407708.0,ns,7
nn_gen:2,,,,,56595375.0,ns,7
nn_gen:2,,,,,56027167.0,ns,7
nn_gen:2,,,,,55672791.0,ns,7
nn_gen:2,,,,,55066083.0,ns,7
nn_gen:2,,,,,54773625.0,ns,7
nn_gen:2,,,,,54873666.0,ns,7
nn_gen:2,,,,,54484792.0,ns,7
nn_gen:2,,,,,55926334.0,ns,7
nn_gen:2,,,,,64457333.0,ns,7
nn_gen:2,,,,,55507042.0,ns,7
nn_gen:2,,,,,55525042.0,ns,7
nn_gen:2,,,,,55125125.0,ns,7
nn_gen:2,,,,,54610333.0,ns,7
nn_gen:2,,,,,54475417.0,ns,7
nn_gen:2,,,,,54591333.0,ns,7
nn_gen:2,,,,,54528625.0,ns,7
nn_gen:2,,,,,54652875.0,ns,7
nn_gen:2,,,,,54613000.0,ns,7
nn_gen:2,,,,,54598792.0,ns,7
nn_gen:2,,,,,54860459.0,ns,7
nn_gen:2,,,,,54878875.0,ns,7
nn_gen:2,,,,,54751792.0,ns,7
nn_gen:2,,,,,55243000.0,ns,7
nn_gen:2,,,,,55211000.0,ns,7
nn_gen:2,,,,,55126625.0,ns,7
nn_gen:2,,,,,55247500.0,ns,7
nn_gen:2,,,,,55210916.0,ns,7
nn_gen:2,,,,,54592250.0,ns,7
nn_gen:2,,,,,54722833.0,ns,7
nn_gen:2,,,,,54959042.0,ns,7
nn_gen:2,,,,,54822708.0,ns,7
nn_gen:2,,,,,54575834.0,ns,7
nn_gen:2,,,,,54669833.0,ns,7
nn_gen:2,,,,,55740792.0,ns,7
nn_gen:2,,,,,55011167.0,ns,7
nn_gen:2,,,,,54549875.0,ns,7
nn_gen:2,,,,,54592083.0,ns,7
nn_gen:2,,,,,55011375.0,ns,7
nn_gen:2,,,,,55204500.0,ns,7
nn_gen:2,,,,,55656000.0,ns,7
nn_gen:2,,,,,55715167.0,ns,7
nn_gen:2,,,,,54749083.0,ns,7
nn_gen:2,,,,,54920500.0,ns,7
nn_gen:2,,,,,54991041.0,ns,7
nn_gen:2,,,,,54703667.0,ns,7
nn_gen:2,,,,,54930125.0,ns,7
nn_gen:2,,,,,54599792.0,ns,7
nn_gen:2,,,,,54499333.0,ns,7
nn_gen:2,,,,,54713292.0,ns,7
nn_gen:2,,,,,54808500.0,ns,7
nn_gen:2,,,,,54658250.0,ns,7
nn_gen:2,,,,,54641083.0,ns,7
nn_gen:2,,,,,54735167.0,ns,7
nn_gen:2,,,,,54629125.0,ns,7
nn_gen:2,,,,,54659042.0,ns,7
nn_gen:2,,,,,54756750.0,ns,7
nn_gen:2,,,,,54717167.0,ns,7
nn_gen:2,,,,,54679625.0,ns,7
nn_gen:2,,,,,54936459.0,ns,7
nn_gen:2,,,,,54648708.0,ns,7
nn_gen:2,,,,,54663292.0,ns,7
nn_gen:2,,,,,54369959.0,ns,7
nn_gen:2,,,,,54313375.0,ns,7
nn_gen:2,,,,,54408875.0,ns,7
nn_gen:2,,,,,54253750.0,ns,7
nn_gen:2,,,,,54365250.0,ns,7
nn_gen:2,,,,,54315958.0,ns,7
nn_gen:2,,,,,54350084.0,ns,7
