group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nn_gen:2^14,,,,,59806000.0,ns,3
nn_gen:2^14,,,,,59116792.0,ns,3
nn_gen:2^14,,,,,58917667.0,ns,3
nn_gen:2^14,,,,,58921250.0,ns,3
nn_gen:2^14,,,,,59464416.0,ns,3
nn_gen:2^14,,,,,59154875.0,ns,3
nn_gen:2^14,,,,,58794209.0,ns,3
nn_gen:2^14,,,,,59089917.0,ns,3
nn_gen:2^14,,,,,59702167.0,ns,3
nn_gen:2^14,,,,,59210000.0,ns,3
nn_gen:2^14,,,,,60005250.0,ns,3
nn_gen:2^14,,,,,59502750.0,ns,3
nn_gen:2^14,,,,,60614042.0,ns,3
nn_gen:2^14,,,,,61120334.0,ns,3
nn_gen:2^14,,,,,61397666.0,ns,3
nn_gen:2^14,,,,,60033417.0,ns,3
nn_gen:2^14,,,,,59939541.0,ns,3
nn_gen:2^14,,,,,59713750.0,ns,3
nn_gen:2^14,,,,,60454917.0,ns,3
nn_gen:2^14,,,,,59777500.0,ns,3
nn_gen:2^14,,,,,59750625.0,ns,3
nn_gen:2^14,,,,,59785042.0,ns,3
nn_gen:2^14,,,,,59665500.0,ns,3
nn_gen:2^14,,,,,60813125.0,ns,3
nn_gen:2^14,,,,,60109208.0,ns,3
nn_gen:2^14,,,,,60115167.0,ns,3
nn_gen:2^14,,,,,59386333.0,ns,3
nn_gen:2^14,,,,,59781875.0,ns,3
nn_gen:2^14,,,,,59650958.0,ns,3
nn_gen:2^14,,,,,61132292.0,ns,3
nn_gen:2^14,,,,,60792625.0,ns,3
nn_gen:2^14,,,,,60263416.0,ns,3
nn_gen:2^14,,,,,59918625.0,ns,3
nn_gen:2^14,,,,,60416709.0,ns,3
nn_gen:2^14,,,,,60232625.0,ns,3
nn_gen:2^14,,,,,71230833.0,ns,3
nn_gen:2^14,,,,,85134500.0,ns,3
nn_gen:2^14,,,,,105799000.0,ns,3
nn_gen:2^14,,,,,62338291.0,ns,3
nn_gen:2^14,,,,,61798458.0,ns,3
nn_gen:2^14,,,,,60809875.0,ns,3
nn_gen:2^14,,,,,60988917.0,ns,3
nn_gen:2^14,,,,,60881542.0,ns,3
nn_gen:2^14,,,,,61938250.0,ns,3
nn_gen:2^14,,,,,65714375.0,ns,3
nn_gen:2^14,,,,,62499459.0,ns,3
nn_gen:2^14,,,,,61516167.0,ns,3
nn_gen:2^14,,,,,60667792.0,ns,3
nn_gen:2^14,,,,,61265500.0,ns,3
nn_gen:2^14,,,,,60878708.0,ns,3
nn_gen:2^14,,,,,60624625.0,ns,3
nn_gen:2^14,,,,,60637333.0,ns,3
nn_gen:2^14,,,,,61603875.0,ns,3
nn_gen:2^14,,,,,60697000.0,ns,3
nn_gen:2^14,,,,,60732167.0,ns,3
nn_gen:2^14,,,,,60895916.0,ns,3
nn_gen:2^14,,,,,60855750.0,ns,3
nn_gen:2^14,,,,,61516708.0,ns,3
nn_gen:2^14,,,,,60923625.0,ns,3
nn_gen:2^14,,,,,60311458.0,ns,3
nn_gen:2^14,,,,,60627792.0,ns,3
nn_gen:2^14,,,,,60544417.0,ns,3
nn_gen:2^14,,,,,61149209.0,ns,3
nn_gen:2^14,,,,,60676750.0,ns,3
nn_gen:2^14,,,,,60789292.0,ns,3
nn_gen:2^14,,,,,60107250.0,ns,3
nn_gen:2^14,,,,,60021708.0,ns,3
nn_gen:2^14,,,,,61336708.0,ns,3
nn_gen:2^14,,,,,60166292.0,ns,3
nn_gen:2^14,,,,,62601292.0,ns,3
nn_gen:2^14,,,,,66212792.0,ns,3
nn_gen:2^14,,,,,60138750.0,ns,3
nn_gen:2^14,,,,,59953167.0,ns,3
nn_gen:2^14,,,,,60243875.0,ns,3
nn_gen:2^14,,,,,60810334.0,ns,3
nn_gen:2^14,,,,,60963542.0,ns,3
nn_gen:2^14,,,,,63399417.0,ns,3
nn_gen:2^14,,,,,60604041.0,ns,3
nn_gen:2^14,,,,,61601667.0,ns,3
nn_gen:2^14,,,,,65422792.0,ns,3
nn_gen:2^14,,,,,61458542.0,ns,3
nn_gen:2^14,,,,,61529750.0,ns,3
nn_gen:2^14,,,,,61901542.0,ns,3
nn_gen:2^14,,,,,61773333.0,ns,3
nn_gen:2^14,,,,,61050125.0,ns,3
nn_gen:2^14,,,,,60782208.0,ns,3
nn_gen:2^14,,,,,62037292.0,ns,3
nn_gen:2^14,,,,,65329916.0,ns,3
nn_gen:2^14,,,,,61404459.0,ns,3
nn_gen:2^14,,,,,60680834.0,ns,3
nn_gen:2^14,,,,,61315250.0,ns,3
nn_gen:2^14,,,,,60384750.0,ns,3
nn_gen:2^14,,,,,60160250.0,ns,3
nn_gen:2^14,,,,,60412375.0,ns,3
nn_gen:2^14,,,,,62510083.0,ns,3
nn_gen:2^14,,,,,60296667.0,ns,3
nn_gen:2^14,,,,,60494875.0,ns,3
nn_gen:2^14,,,,,60122458.0,ns,3
nn_gen:2^14,,,,,59921000.0,ns,3
nn_gen:2^14,,,,,59658625.0,ns,3
